participantID,pNew,pOld,boxesFlipped,absColorDiff,blueFlipped,yellowFlipped,accuracy,discriminationError,boardDifficulty,trialRT,masterTrialID,conditionTrialID,condition,colorSequence,gender,age,education
93,1,1,20,6,7,13,1,0,8,10449.6,13,4,low,"[1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1]",2,24,7
93,1,1,25,9,17,8,1,0,9,10921.5,19,5,low,"[2,2,2,2,2,2,2,2,1,1,2,2,2,2]",2,24,7
93,0.999989904,0.999511719,14,10,12,2,1,0,7,6576.1,20,6,low,"[2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1]",2,24,7
93,0.992290349,0.967285156,14,6,4,10,1,0,101,5680.3,21,7,low,"[2,1,1,2,1,1,1,1,1,2,1,1,2,1]",2,24,7
92,0.810869565,0.676197052,6,2,2,4,1,0,8,6698.9,4,1,low,"[2,1,2,1,1,1]",1,22,4
92,0.943478261,0.738266468,3,3,0,3,1,0,4,3286.1,8,2,low,"[1,1,1]",1,22,4
92,0.943478261,0.738266468,3,3,3,0,1,0,7,2986.8,10,3,low,"[2,2,2]",1,22,4
92,0.839130435,0.668188095,4,2,1,3,1,0,101,5117,11,4,low,"[1,1,2,1]",1,22,4
92,0.839130435,0.668188095,4,2,1,3,0,0,9,4247.7,12,5,low,"[1,2,1,1]",1,22,4
92,0.886902679,0.772750854,9,3,3,6,1,0,6,9115.2,15,6,low,"[1,1,2,1,2,2,1,1,1]",1,22,4
92,0.785846009,0.696380615,10,2,6,4,1,0,3,5647,16,7,low,"[1,2,1,2,1,1,2,2,2,2]",1,22,4
80,0.919875776,0.748277664,5,3,4,1,0,0,6,4640.7,4,1,low,"[1,2,2,2,2]",2,22,7
80,0.919875776,0.748277664,5,3,1,4,1,0,101,5010.6,6,2,low,"[1,2,1,1,1]",2,22,7
80,0.810869565,0.676197052,6,2,4,2,1,0,9,5400,7,3,low,"[2,2,1,2,1,2]",2,22,7
80,0.886902679,0.772750854,9,3,3,6,1,0,8,6137.6,8,4,low,"[1,2,1,1,2,1,2,1,1]",2,22,7
80,0.975776398,0.808344841,4,4,0,4,1,0,4,3233.5,13,5,low,"[1,1,1,1]",2,22,7
