participantID,condition,pNew,pOld,boxesFlipped,absColorDiff,blueFlipped,yellowFlipped,accuracy,discriminationError,boardDifficulty,trialRT,gender.x,age.x,education.x,gender.y,age.y,education.y
33,medium,0.8939537002857143,0.755882808,6.714285714285714,3,3.5714285714285716,3.142857142857143,1,0,19.857142857142858,11633.885714285714,2,22,7,2,22,7
34,high,0.9312449832857143,0.7860625128571429,6.571428571428571,3.4285714285714284,3,3.5714285714285716,1,0,19.714285714285715,20251.114285714284,2,22,7,2,22,7
34,low,0.9981009750000001,0.9925362722857143,20.142857142857142,9,10.285714285714286,9.857142857142858,1,0,19.714285714285715,8752.242857142857,2,22,7,2,22,7
34,medium,0.9595652997142857,0.869592939,9.571428571428571,4.428571428571429,4.857142857142857,4.714285714285714,1,0,19.857142857142858,13681.957142857143,2,22,7,2,22,7
36,high,0.9048409845714286,0.7616158894285715,5.285714285714286,3.2857142857142856,3,2.2857142857142856,0.8571428571428571,0,19.714285714285715,17084.14285714286,2,22,6,2,22,6
36,low,0.8177941657142858,0.7124552045714285,7.857142857142857,2.4285714285714284,3.857142857142857,4,1,0,19.714285714285715,10283.971428571429,2,22,6,2,22,6
36,medium,0.9210521647142857,0.7770617347142857,5.714285714285714,3.4285714285714284,3.142857142857143,2.5714285714285716,1,0,19.857142857142858,10767.528571428571,2,22,6,2,22,6
37,high,0.8644720498571429,0.6862082481428571,3.4285714285714284,2.2857142857142856,1.5714285714285714,1.8571428571428572,1,0,19.714285714285715,16033.7,2,22,7,2,22,7
37,low,0.8373646851428571,0.6759110178571428,3.857142857142857,2.142857142857143,1.7142857142857142,2.142857142857143,0.7142857142857143,0,19.714285714285715,5492.942857142857,2,22,7,2,22,7
37,medium,0.8123336292857143,0.6517411301428572,3.2857142857142856,1.8571428571428572,1.5714285714285714,1.7142857142857142,0.8571428571428571,0,19.857142857142858,8660.985714285714,2,22,7,2,22,7
39,high,1,1,17.285714285714285,8.714285714285714,8,9.285714285714286,1,0,19.714285714285715,53208.72857142857,2,24,7,2,24,7
39,low,1,1,18.285714285714285,8.285714285714286,8.571428571428571,9.714285714285714,1,0,19.714285714285715,11437.714285714286,2,24,7,2,24,7
39,medium,1,1,17.428571428571427,8.571428571428571,9,8.428571428571429,1,0,19.857142857142858,25610.52857142857,2,24,7,2,24,7
40,high,0.9591851294285715,0.870948519,9.714285714285714,4.571428571428571,4.428571428571429,5.285714285714286,1,0,19.714285714285715,39924.04285714286,2,25,7,2,25,7
40,low,0.9851759925714286,0.9510740552857143,16.428571428571427,7.857142857142857,7.714285714285714,8.714285714285714,1,0,19.714285714285715,11195.8,2,25,7,2,25,7
40,medium,0.984898124,0.9228320121428571,11.428571428571429,5.714285714285714,5.714285714285714,5.714285714285714,1,0,19.857142857142858,19918.67142857143,2,25,7,2,25,7
43,high,0.8512802558571428,0.809117879,8.857142857142858,4.285714285714286,4.571428571428571,4.285714285714286,1,0.14285714285714285,19.714285714285715,26158.542857142857,2,25,7,2,25,7
43,low,0.91750649,0.8852168491428571,15.428571428571429,6.285714285714286,8.285714285714286,7.142857142857143,1,0,19.714285714285715,8303.571428571428,2,25,7,2,25,7
43,medium,0.8666687087142857,0.8157585688571428,10.428571428571429,5.285714285714286,6.142857142857143,4.285714285714286,0.8571428571428571,0.14285714285714285,19.857142857142858,14064.642857142857,2,25,7,2,25,7
44,high,0.9992023537142857,0.9972098214285714,17.285714285714285,8.142857142857142,8.571428571428571,8.714285714285714,1,0,19.714285714285715,43730.05714285714,1,28,6,1,28,6
44,low,1,1,19.142857142857142,8.571428571428571,9.714285714285714,9.428571428571429,1,0,19.714285714285715,10695.585714285713,1,28,6,1,28,6
44,medium,0.999624637,0.9979073661428571,17.285714285714285,7.857142857142857,9.714285714285714,7.571428571428571,1,0,19.857142857142858,18807.185714285715,1,28,6,1,28,6
47,high,1,1,18.285714285714285,7.714285714285714,9.142857142857142,9.142857142857142,1,0,19.714285714285715,60548.08571428571,2,22,7,2,22,7
47,low,1,1,18.428571428571427,8.428571428571429,8.857142857142858,9.571428571428571,1,0,19.714285714285715,10155.571428571428,2,22,7,2,22,7
47,medium,1,1,17.857142857142858,9,9.571428571428571,8.285714285714286,1,0,19.857142857142858,25826.742857142857,2,22,7,2,22,7
48,high,0.9703014522857143,0.9110957552857143,12,5.142857142857143,5.857142857142857,6.142857142857143,1,0,19.714285714285715,45152.6,1,23,7,1,23,7
48,low,0.9806921167142857,0.9581734794285715,15.142857142857142,6.571428571428571,6.857142857142857,8.285714285714286,1,0,19.714285714285715,18646.97142857143,1,23,7,1,23,7
48,medium,0.9895307002857143,0.9465876988571429,11.571428571428571,6.428571428571429,6.142857142857143,5.428571428571429,1,0,19.857142857142858,24397.8,1,23,7,1,23,7
51,high,0.980407655,0.9375000001428572,13.142857142857142,5.714285714285714,6.428571428571429,6.714285714285714,1,0,19.714285714285715,45761.71428571428,2,22,7,2,22,7
51,low,1,1,21.714285714285715,10,10.142857142857142,11.571428571428571,1,0,19.714285714285715,11877.3,2,22,7,2,22,7
51,medium,0.9997096321428571,0.9942343575714285,16.857142857142858,8.571428571428571,8.571428571428571,8.285714285714286,1,0,19.857142857142858,23070.385714285712,2,22,7,2,22,7
52,high,0.9407252877142858,0.8160403112857143,7.285714285714286,3.857142857142857,3.5714285714285716,3.7142857142857144,1,0,19.714285714285715,24858.5,1,23,4,1,23,4
52,low,0.9127283454285714,0.835873195,9.142857142857142,4.285714285714286,4.571428571428571,4.571428571428571,1,0,19.714285714285715,13499.728571428572,1,23,4,1,23,4
