participantID,pNew_high,boxesFlipped_high,absColorDiff_high,accuracy_high,trialRT_high,pNew_medium,boxesFlipped_medium,absColorDiff_medium,accuracy_medium,trialRT_medium,pNew_low,boxesFlipped_low,absColorDiff_low,accuracy_low,trialRT_low,gender,age,education
48,0.9703014522857143,12,5.142857142857143,1,45152.6,0.9895307002857143,11.571428571428571,6.428571428571429,1,24397.8,0.9806921167142857,15.142857142857142,6.571428571428571,1,18646.97142857143,1,23,7
51,0.980407655,13.142857142857142,5.714285714285714,1,45761.71428571428,0.9997096321428571,16.857142857142858,8.571428571428571,1,23070.385714285712,1,21.714285714285715,10,1,11877.3,2,22,7
52,0.9407252877142858,7.285714285714286,3.857142857142857,1,24858.5,0.9471017057142858,8.714285714285714,4.142857142857143,1,22190.485714285714,0.9127283454285714,9.142857142857142,4.285714285714286,1,13499.728571428572,1,23,4
54,0.9357634587142857,6.285714285714286,3.7142857142857144,1,16994.214285714286,0.925093882,6.142857142857143,3.2857142857142856,0.8571428571428571,7487.8,0.942964829,7.285714285714286,3.857142857142857,1,4610.414285714286,2,23,7
55,0.9265289915714285,6.857142857142857,4,1,19654.114285714284,0.943409611,11.428571428571429,4,1,13475.285714285714,0.9624929605714285,12.142857142857142,5.285714285714286,1,5827.728571428572,3,22,7
56,0.9591540461428572,13,4.714285714285714,1,42992.44285714286,0.9974764915714286,12.428571428571429,7,1,15765.514285714286,0.9818748918571428,14.428571428571429,6.714285714285714,1,8271.657142857142,2,22,7
58,0.9640784185714286,10.428571428571429,5.285714285714286,1,32828.8,0.9707728401428571,11.285714285714286,5.285714285714286,1,15086.657142857142,0.9976948857142858,17.714285714285715,7.714285714285714,1,8740.8,2,23,6
60,0.9292668555714285,8.857142857142858,4.571428571428571,0.8571428571428571,27547.642857142855,0.9088023217142858,8.285714285714286,4.285714285714286,1,15624.57142857143,0.9914843374285714,15.571428571428571,7,1,8151.5999999999995,2,23,7
61,0.937191426,4.857142857142857,3.4285714285714284,1,14446.028571428571,0.9750479642857143,8.142857142857142,5.285714285714286,1,9047.771428571428,0.9499160212857143,11.714285714285714,4.857142857142857,1,6047.4,1,32,7
62,0.8610083211428572,7,2.7142857142857144,1,25740.942857142858,0.953817774,5.714285714285714,4,0.8571428571428571,9530.328571428572,0.8505812164285714,15.428571428571429,6.571428571428571,0.8571428571428571,8042.528571428571,2,23,7
63,0.9483122127142857,17.142857142857142,6.857142857142857,1,58621.04285714286,0.9970424782857142,19.142857142857142,9.428571428571429,1,23833.385714285716,1,24.857142857142858,10.857142857142858,1,12731.542857142857,2,26,4
64,0.9965627942857143,15.714285714285714,7.428571428571429,1,46807.271428571425,0.9507768507142857,14.142857142857142,6.428571428571429,1,24083.057142857142,0.9934469164285714,16.571428571428573,7.428571428571429,1,12869.728571428572,1,24,7
65,0.9559072828571429,7,4.142857142857143,1,22662.5,0.9315226044285715,9.285714285714286,4.142857142857143,1,13815.142857142857,0.969512748,11.571428571428571,5.571428571428571,1,7910.3,1,22,7
66,0.9442024978333333,11.833333333333334,5.5,1,43415.28333333333,0.9785255338333333,10.833333333333334,5.5,1,15343.383333333333,0.999541613,15.166666666666666,8.5,1,11786.983333333334,1,35,7
67,0.9253322747142857,5.142857142857143,3.142857142857143,1,18622.185714285715,0.9190717294285714,8.428571428571429,4.142857142857143,1,12741.342857142858,0.9708153377142857,12.428571428571429,5.571428571428571,1,7630.257142857143,1,22,4
68,0.8757763975714286,4.142857142857143,2.4285714285714284,1,21090.2,0.9096273292857142,3.5714285714285716,2.7142857142857144,1,12366.757142857143,0.9085177228571428,4.857142857142857,2.857142857142857,1,7652.385714285714,1,22,7
70,0.9770051590000001,12,5.428571428571429,1,40732.25714285714,0.9620799624285714,13.142857142857142,6,1,18084.314285714285,0.9890221717142857,14.142857142857142,6.142857142857143,1,10257.985714285714,1,23,7
71,0.9494476691428572,10.428571428571429,4.142857142857143,1,32622.042857142857,0.9415122344285715,9.428571428571429,4,1,10733.742857142857,0.9792814838571429,8.285714285714286,5.714285714285714,1,4546.3,1,24,7
73,0.9897385315714285,13.714285714285714,6.571428571428571,1,43481.9,0.9971304265714286,14.428571428571429,7.285714285714286,1,21463.97142857143,0.9829598292857142,14.142857142857142,7.285714285714286,1,10990.114285714286,2,23,6
76,0.9802858762857143,13.857142857142858,6.142857142857143,1,38743.55714285714,0.9958855258571429,15.571428571428571,7.571428571428571,1,15879.457142857143,0.997204969,19.714285714285715,9.142857142857142,1,8081.5999999999995,2,25,7
79,0.9996273291428571,17.428571428571427,8.285714285714286,1,45992.514285714286,1,17.428571428571427,8.571428571428571,1,21964.185714285715,0.9996273291428571,17,8.714285714285714,1,11803.185714285713,2,22,7
80,0.8498780291428571,5.714285714285714,2.2857142857142856,0.8571428571428571,20018.7,0.8925909494285714,4.428571428571429,2.7142857142857144,1,7224.5999999999995,0.9176409327142857,5.571428571428571,3.2857142857142856,0.8571428571428571,4474.728571428572,2,22,7
83,0.9736166457142857,14,6,1,41185.77142857143,0.9997096321428571,16.285714285714285,8.285714285714286,1,22703.914285714287,1,19.857142857142858,7.857142857142857,1,11192.3,2,22,7
