"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"22" 65.1590483686495 34.5964744347506 60.6328466803771 430.007205983554 500 0.01 0.01 44
"23" 82.6545238284407 40.8458396386454 15.9913804224353 500 75.7124721427963 0.01 0.01 47
"24" 133.080398295898 100 11.3489810524287 15.6315925795122 234.66843127791 0.01 0.01 48
"25" 77.1352363504597 87.3021670809107 15.2799341100334 500 255.012075483088 0.01 0.01 51
"26" 204.149534926775 45.9019119041715 1.56588536335153 49.7991399611964 1 0.01 0.01 54
"27" 177.98997213834 35.6319922118674 10.9017541565133 85.5518349593133 1 0.01 0.18079049872404 55
"28" 119.369728673641 100 10.8384043335836 87.3565674998631 458.572485014235 0.01 0.01 56
"29" 187.021163564378 58.0877463238443 6.88823069264161 103.58625300537 149.392831023579 0.332825768386061 0.299532206286174 58
"30" 215.035123025405 8.18313517533681 3.63016057828133 72.7339497350091 51.5698906764256 0.01 0.01 60
"31" 83.5664009031546 100 20.8974667016761 234.077593335265 1 0.01 0.01 61
"32" 55.3043678882008 100 33.9373593155827 470.187590025678 361.866622540159 0.01 0.01 62
"33" 146.445851149382 59.8373929516066 24.083458944071 7.26011291115036 186.159473376834 0.01 0.01 63
"34" 71.2516682983813 83.590414499962 15.9778904365757 500 500 0.01 0.01 64
"35" 55.5044042710065 33.8486863729954 48.0177026181569 500 500 0.01 0.01 65
"36" 87.6617630706167 100 30.665968664203 246.138923681539 132.801174563094 0.01 0.01 66
"37" 89.4576812752401 75.3195209122059 42.547387834338 229.75011598255 325.117528083339 0.01 0.01 67
"38" 138.818683901091 100 14.3904794927807 1 364.878132344953 0.01 0.01 68
"39" 86.1161741551533 100 44.4484465768224 157.449109367164 453.948727863495 0.01 0.01 70
"40" 122.428679480667 70.7774554879886 10.8620441379971 269.768303053043 436.501042753786 0.01 0.01 71
"41" 104.347768429358 100 15.7720657972454 189.009466604389 1 0.01 0.01 73
"42" 232.316914843796 15.5221527467973 2.42214735062703 45.9802357678702 16.7682576105634 0.01 0.282164577179657 76
"43" 100.032214547077 14.0449358623379 12.0879775854086 94.1289196848606 500 0.01 0.01 79
"44" 160.788317546855 99.9179303527166 5.31905432270627 188.578556906681 55.9464682255774 0.01 0.01 80
"45" 79.0657120792409 100 26.4599535067986 176.574364247074 267.283982260981 0.01 0.01 83
"46" 196.779040771811 28.7724027504764 6.28973651329042 25.0229394897319 60.8141668942919 0.01 0.01 86
"47" 151.923100730233 42.0492867377834 16.4112641704393 277.515580212677 1 0.01 0.01 87
