sID,trialNumber,prID,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,traits1,traits2,traits3,s,strategy,sex,age
1,24,,45,0.375,0,1.5,0.377777778,"9,9,9,9,9","4,3,2,5,3","5,6,7,4,6",33,1.548,37,5.324,48,1,,,,0.26666666666666666,compromise,Male,24
1,25,,45,0,1,2,0,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",2,4.542,0,4.735,0,3,,,,1,copy,Male,24
1,26,,5,0.25,0,1.6,0.2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",20,1.326,26,6.819,37,1,,,,0.35294117647058826,compromise,Male,24
1,27,,5,0.5,0,1.8,0.6,"1,1,1,1,1","1,0,1,0,1","0,1,0,1,0",60,2.186,47,6.637,43,2,,,,0.7647058823529411,compromise,Male,24
1,28,,5,0.5,0,1.9,0.6,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",60,1.438,48,7.248,42,3,,,,0.6666666666666666,compromise,Male,24
1,29,,45,0.5,0,1.6,0.511111111,"9,9,9,9,9","5,4,4,4,6","4,5,5,5,3",40,4.271,48,6.401,55,2,,,,0.5333333333333333,compromise,Male,24
1,30,,5,0.125,0,1.8,0.2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",10,6.756,20,9.435,28,3,,,,0.5555555555555556,compromise,Male,24
1,31,,5,0.375,1,1.6,0.4,"1,1,1,1,1","0,1,1,0,0","1,0,0,1,1",40,2.785,60,9.13,85,1,,,,0.4444444444444444,compromise,Male,24
1,32,,5,0.625,0,1.6,0.6,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",60,2.494,70,5.297,77,2,,,,0.5882352941176471,compromise,Male,24
1,33,,5,0,1,1.9,0,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",0,1.117,0,2.228,0,3,,,,NA,NA,Male,24
1,34,,45,0.875,0,1.5,0.866666667,"9,9,9,9,9","8,9,7,8,7","1,0,2,1,2",90,2.751,85,4.268,72,2,,,,0.2777777777777778,compromise,Male,24
1,35,,5,0.875,0,1.9,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",80,1.841,95,5.464,96,3,,,,0.9375,compromise,Male,24
1,36,,5,0.125,0,2,0.2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",20,1.299,13,4.943,5,2,,,,0.4666666666666667,compromise,Male,24
1,37,,45,0.75,0,2,0.755555556,"9,9,9,9,9","7,7,6,6,8","2,2,3,3,1",85,2.917,82,3.366,69,1,,,,0.1875,compromise,Male,24
1,38,,5,0.75,0,1.6,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",80,1.652,70,3.041,63,2,,,,0.5882352941176471,compromise,Male,24
1,39,,45,0.25,0,2,0.244444444,"9,9,9,9,9","2,3,2,2,2","7,6,7,7,7",15,5.819,25,7.665,33,3,,,,0.5555555555555556,compromise,Male,24
1,40,,45,0.875,0,2,0.866666667,"9,9,9,9,9","8,8,9,8,6","1,1,0,1,3",80,9.792,90,3.437,96,3,,,,0.625,compromise,Male,24
1,41,,45,0.125,0,1.8,0.133333333,"9,9,9,9,9","1,1,2,0,2","8,8,7,9,7",15,3.5,10,7.783,0,3,,,,0.3333333333333333,compromise,Male,24
1,42,,5,0.25,0,1.6,0.2,"1,1,1,1,1","1,0,0,0,0","0,1,1,1,1",20,2.923,28,5.651,38,3,,,,0.4444444444444444,compromise,Male,24
1,43,,5,0.5,1,1.6,0.6,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",60,1.646,40,7.45,5,1,,,,0.36363636363636365,compromise,Male,24
1,44,,5,0.375,0,2,0.4,"1,1,1,1,1","0,1,0,1,0","1,0,1,0,1",40,1.785,30,7.61,22,3,,,,0.5555555555555556,compromise,Male,24
1,45,,45,1,1,1.8,1,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",100,1.59,99,4.991,98,3,,,,0.5,compromise,Male,24
1,46,,45,0.125,1,1.5,0.133333333,"9,9,9,9,9","1,1,2,1,1","8,8,7,8,8",10,4.326,25,4.359,78,1,,,,0.22058823529411764,compromise,Male,24
1,47,,5,0.625,0,2,0.6,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",60,1.841,65,4.185,77,1,,,,0.29411764705882354,compromise,Male,24
1,48,,5,0,1,1.6,0,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",0,1.112,0,1.963,0,3,,,,NA,NA,Male,24
1,49,,45,0.75,0,1.7,0.755555556,"9,9,9,9,9","7,6,5,7,9","2,3,4,2,0",25,1.715,33,3.845,42,2,,,,0.47058823529411764,compromise,Male,24
1,50,,45,0.875,0,1.9,0.866666667,"9,9,9,9,9","8,7,9,9,6","1,2,0,0,3",12,3.368,NA,NA,NA,NA,,,,NA,NA,Male,24
1,51,,45,0.25,0,1.9,0.244444444,"9,9,9,9,9","3,2,1,2,3","6,7,8,7,6",15,6.117,22,3.617,30,2,,,,0.4666666666666667,compromise,Male,24
1,52,,45,0.25,1,1.7,0.244444444,"9,9,9,9,9","2,4,3,2,0","7,5,6,7,9",13,5.646,20,5.199,84,1,,,,0.098591549,compromise,Male,24
1,53,,45,0.125,0,1.6,0.133333333,"9,9,9,9,9","2,0,1,1,2","7,9,8,8,7",5,2.202,10,4.268,21,2,,,,0.3125,compromise,Male,24
1,54,,5,0.5,0,1.5,0.6,"1,1,1,1,1","1,0,1,1,0","0,1,0,0,1",60,3.423,52,4.887,45,1,,,,0.5333333333333333,compromise,Male,24
2,1,,45,0.375,0,1.6,0.377777778,"9,9,9,9,9","3,5,3,3,3","6,4,6,6,6",35,2.5139,35,3.6965,51,1,,,,0,stay,Male,32
2,2,,45,0.125,1,1.8,0.133333333,"9,9,9,9,9","2,1,1,1,1","7,8,8,8,8",15,2.4138,15,4.9581,14,1,,,,0,stay,Male,32
2,3,,45,0.5,0,1.9,0.511111111,"9,9,9,9,9","6,4,3,4,6","3,5,6,5,3",55,2.3341,45,4.8549,37,2,,,,0.5555555555555556,compromise,Male,32
2,4,,45,0.875,0,1.7,0.866666667,"9,9,9,9,9","6,8,8,9,8","3,1,1,0,1",90,4.0297,85,6.1063,73,3,,,,0.29411764705882354,compromise,Male,32
2,5,,5,0,1,1.8,0,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",0,9.0419,0,2.0267,0,3,,,,NA,NA,Male,32
2,6,,45,0.875,0,1.8,0.866666667,"9,9,9,9,9","9,6,9,8,7","0,3,0,1,2",90,1.8481,90,2.5596,74,1,,,,0,stay,Male,32
2,7,,5,0.375,1,2,0.4,"1,1,1,1,1","0,1,0,1,0","1,0,1,0,1",55,4.4626,50,3.8087,6,1,,,,0.10204081632653061,compromise,Male,32
2,8,,45,0.25,0,1.7,0.244444444,"9,9,9,9,9","2,3,5,1,0","7,6,4,8,9",25,2.9975,20,4.5411,9,2,,,,0.3125,compromise,Male,32
2,9,,5,0.125,0,1.8,0.2,"1,1,1,1,1","0,0,1,0,0","1,1,0,1,1",20,3.4801,15,3.6256,3,2,,,,0.29411764705882354,compromise,Male,32
2,10,,5,1,1,2,1,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",90,5.1288,90,3.0755,90,3,,,,NA,NA,Male,32
2,11,,45,0.375,0,1.6,0.377777778,"9,9,9,9,9","3,2,4,6,2","6,7,5,3,7",37,4.6124,35,3.0806,21,2,,,,0.125,compromise,Male,32
2,12,,45,0.875,0,2,0.866666667,"9,9,9,9,9","6,8,8,9,8","3,1,1,0,1",85,1.7339,85,4.6439,100,2,,,,0,stay,Male,32
2,13,,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,1,0,1,1","0,0,1,0,0",80,3.0512,80,3.9272,95,2,,,,0,stay,Male,32
2,14,,45,0,1,1.7,0,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",0,1.915,0,2.0605,0,3,,,,NA,NA,Male,32
2,15,,5,0.625,0,1.5,0.6,"1,1,1,1,1","0,0,1,1,1","1,1,0,0,0",60,3.7963,70,3.0086,78,2,,,,0.5555555555555556,compromise,Male,32
2,16,,5,0.625,0,1.7,0.6,"1,1,1,1,1","1,0,0,1,1","0,1,1,0,0",70,4.8959,70,4.5458,53,1,,,,0,stay,Male,32
2,17,,5,0.5,0,1.6,0.6,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",60,4.8445,55,4.3747,45,2,,,,0.3333333333333333,compromise,Male,32
2,18,,5,0.375,0,1.8,0.4,"1,1,1,1,1","0,1,1,0,0","1,0,0,1,1",40,4.4128,35,3.1423,25,2,,,,0.3333333333333333,compromise,Male,32
2,19,,5,0.75,0,1.8,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",80,2.8474,80,3.3747,65,1,,,,0,stay,Male,32
2,20,,5,0.375,0,1.7,0.4,"1,1,1,1,1","0,1,1,0,0","1,0,0,1,1",40,4.8291,35,3.8297,25,3,,,,0.3333333333333333,compromise,Male,32
2,21,,45,0.25,0,1.8,0.244444444,"9,9,9,9,9","1,4,0,2,4","8,5,9,7,5",35,3.2638,30,3.2762,20,3,,,,0.3333333333333333,compromise,Male,32
2,22,,5,0.375,0,1.8,0.4,"1,1,1,1,1","1,1,0,0,0","0,0,1,1,1",40,2.1646,35,2.8642,25,1,,,,0.3333333333333333,compromise,Male,32
2,23,,5,0.875,0,1.7,0.8,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",80,2.8341,85,3.6056,98,3,,,,0.2777777777777778,compromise,Male,32
2,24,,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",80,2.3146,90,4.2584,97,1,,,,0.5882352941176471,compromise,Male,32
2,25,,5,0.75,0,1.8,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",80,1.6473,72,4.8456,65,3,,,,0.5333333333333333,compromise,Male,32
2,26,,5,0.625,1,1.7,0.6,"1,1,1,1,1","0,1,1,1,0","1,0,0,0,1",60,3.1133,60,3.2639,60,3,,,,NA,NA,Male,32
2,27,,5,0.25,0,1.8,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",20,1.718,25,4.0727,36,1,,,,0.3125,compromise,Male,32
2,28,,45,0.5,0,2,0.511111111,"9,9,9,9,9","2,5,5,7,4","7,4,4,2,5",56,5.4788,45,3.8634,40,3,,,,0.6875,compromise,Male,32
2,29,,5,0.625,0,1.5,0.6,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",60,4.1937,70,4.7585,75,3,,,,0.6666666666666666,compromise,Male,32
2,30,,45,0.125,0,1.9,0.133333333,"9,9,9,9,9","1,2,1,1,1","8,7,8,8,8",20,2.3475,15,3.6753,3,2,,,,0.29411764705882354,compromise,Male,32
2,31,,45,0.75,0,1.7,0.755555556,"9,9,9,9,9","7,6,7,7,7","2,3,2,2,2",75,2.2313,70,6.5737,57,2,,,,0.2777777777777778,compromise,Male,32
2,32,,45,0.125,0,1.6,0.133333333,"9,9,9,9,9","4,1,0,0,1","5,8,9,9,8",15,1.8983,15,4.4788,0,1,,,,0,stay,Male,32
2,33,,45,0.75,0,1.9,0.755555556,"9,9,9,9,9","8,8,5,8,5","1,1,4,1,4",70,4.7291,75,5.041,86,3,,,,0.3125,compromise,Male,32
2,34,,45,0.625,0,2,0.622222222,"9,9,9,9,9","7,3,7,6,5","2,6,2,3,4",65,3.1636,60,3.3302,47,1,,,,0.2777777777777778,compromise,Male,32
2,35,,45,0.625,0,1.8,0.622222222,"9,9,9,9,9","6,4,4,8,6","3,5,5,1,3",70,3.0307,62,4.9618,55,2,,,,0.5333333333333333,compromise,Male,32
2,36,,5,0.5,0,1.9,0.6,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",60,1.5331,50,4.0562,42,3,,,,0.5555555555555556,compromise,Male,32
2,37,,45,0.25,0,2,0.244444444,"9,9,9,9,9","1,4,2,1,3","8,5,7,8,6",30,3.6176,30,4.8546,13,1,,,,0,stay,Male,32
2,38,,5,0.5,0,1.7,0.6,"1,1,1,1,1","0,1,0,1,1","1,0,1,0,0",60,3.7466,60,2.8427,44,1,,,,0,stay,Male,32
