sID,nTotal,true_ratio,estimate
4,45,0.125,36
4,45,0.375,36
4,25,0.625,57
4,25,0.125,36
4,45,0.625,27
4,45,0.875,97
4,5,0.75,66
4,45,0.75,79
4,25,0.25,36
4,25,0.5,36
4,5,0.25,61
4,5,0.5,53
4,5,0.5,42
4,45,0.875,72
4,5,0.5,48
4,45,0.5,51
4,25,0.625,61
4,5,0.375,45
4,45,0.25,39
4,5,0.125,64
4,5,0.75,54
4,5,0.375,46
4,25,0.875,63
4,5,0.75,56
4,5,0.125,48
4,25,0,19
4,25,0.875,59
4,45,0.75,86
4,45,0,6
4,45,1,97
4,45,0.625,68
4,45,0.75,63
4,5,0.25,34
4,25,0,29
4,45,0.375,29
4,5,0.875,30
4,25,0.125,35
4,45,0.5,38
4,25,0.5,41
5,45,0,5
5,45,0.625,69
5,25,1,96
5,45,0.125,3
5,45,0.75,50
5,5,0.125,20
5,5,0.625,45
5,25,0.875,79
5,5,0.125,31
5,5,0.875,74
5,25,0.125,13
5,25,0.125,2
5,5,0.5,40
5,25,0.25,21
5,5,0.875,78
5,45,0.5,41
5,25,0,7
5,5,0.625,56
5,45,0.75,83
5,45,0.125,30
5,25,1,97
5,45,0.375,66
5,5,0,19
5,25,0.625,78
5,25,0.125,30
5,25,0,38
5,25,0.25,24
5,5,0.25,12
5,5,0.75,95
5,25,0.625,49
5,25,0.875,74
5,5,1,97
5,45,0.25,19
5,5,0.25,21
5,5,0.375,67
5,5,0.375,24
5,45,0.625,72
5,45,0.25,13
5,5,1,86
5,25,0.375,40
5,45,0.5,79
5,25,1,75
5,45,0,0
5,45,0.875,87
5,45,0.375,43
5,5,0.5,62
5,45,0.625,41
5,25,0.5,68
5,25,0.75,78
5,5,0.75,65
5,45,0.375,25
5,45,0.875,100
5,45,1,77
5,45,1,99
5,25,0.75,59
5,25,0.5,53
5,5,0.75,82
5,45,0.875,86
5,5,0.5,57
5,45,0.5,30
5,25,0.375,39
5,45,0.75,92
5,5,0.875,81
5,5,0,12
5,5,0.25,34
5,5,0.375,54
5,25,0.625,73
5,25,0.5,44
5,5,0,10
5,25,0.25,23
5,25,0.75,73
5,25,0.375,33
5,25,0,4
5,5,0.625,90
5,45,0.125,16
5,45,0.25,37
5,5,0.125,22
5,25,0.875,94
5,45,0,7
5,5,1,93
5,45,1,100
6,45,0.875,30
6,5,1,6
6,25,0.125,8
6,25,0.625,17
6,45,0.75,25
6,25,0.875,16
6,5,0,0
6,45,1,32
6,25,0,1
6,45,0.5,17
6,45,0.625,28
6,45,0,7
6,5,0.875,9
6,45,0,0
6,25,0.375,11
6,5,0.5,3
6,5,0.75,6
6,5,0.375,2
6,25,0.25,6
6,5,0.25,3
6,5,0.5,8
6,5,0.875,5
6,45,0.625,31
6,25,0.75,14
6,5,0.5,3
6,25,0.5,9
6,45,0.375,22
6,5,0,0
6,45,1,34
6,25,0.375,9
6,25,0.25,3
6,25,0.125,0
6,45,0.5,26
6,25,0,4
6,25,0.125,3
6,45,0.375,10
6,5,0.375,3
6,25,0.625,23
6,45,0.625,20
6,25,0.875,23
6,45,0.25,15
6,5,0,1
6,25,1,10
6,45,0.375,21
6,45,0.75,27
6,5,0.25,3
6,5,0.625,2
6,25,0.25,3
6,45,0.125,0
6,25,0.5,15
6,5,0.375,2
6,25,1,25
6,25,0.375,12
6,45,0.75,30
6,5,0.125,0
6,45,0,0
6,45,0.25,5
6,5,0.125,20
6,25,0.875,22
6,5,1,4
6,45,0.125,6
6,45,0.125,12
6,5,0.625,2
6,25,0.625,12
6,25,0.75,16
6,5,0.75,3
6,45,0.5,12
6,5,0.875,3
6,45,0.875,24
6,25,1,25
6,5,0.25,1
6,45,0.25,13
6,45,1,26
6,25,0.75,13
6,5,0.625,5
6,5,0.125,3
6,25,0,0
6,5,1,1
6,5,0.75,4
6,45,0.875,22
6,25,0.5,13
7,45,0.75,92
7,5,0.75,60
7,45,0.125,30
7,45,0,5
7,5,1,60
7,5,0.5,42
7,45,0.5,45
7,25,0.875,92
7,25,0.875,78
7,45,0.375,24
7,5,0.875,60
7,5,0.125,45
7,5,0,41
7,45,0.625,60
7,45,0.75,55
7,25,0.5,41
7,5,0.125,45
7,25,0.5,50
7,25,0.375,30
7,5,0.625,55
7,25,1,85
7,45,1,93
7,45,0.25,35
7,5,0,45
7,5,0.875,55
7,5,0.25,45
7,5,0.5,60
7,45,0.25,40
7,25,0.75,55
7,5,0.125,40
7,45,0.125,15
7,25,0.75,87
7,45,0.75,74
7,25,0.25,23
7,45,1,95
7,45,0.625,76
7,5,0.375,43
7,45,0.375,40
7,5,0.25,47
7,45,0.5,50
7,5,0.75,57
7,5,0.375,46
7,45,0.625,42
7,45,0.875,80
7,25,0.375,30
7,25,0.125,20
7,45,0.375,55
7,5,1,59
7,25,0.625,40
7,25,0,14
7,5,0.25,40
7,25,1,80
7,45,0.875,93
7,25,0.125,33
7,25,0,12
7,5,0.625,45
7,25,0.25,26
7,5,0,40
7,25,0.25,32
7,25,0.625,47
7,45,1,79
7,5,0.5,42
7,5,0.375,53
7,25,0.125,12
7,45,0,6
7,45,0.125,6
7,45,0.875,75
7,45,0,21
7,25,0,20
7,5,0.75,50
7,25,0.75,65
7,25,0.5,60
7,25,1,87
7,25,0.875,71
7,5,1,60
7,5,0.875,55
7,45,0.25,20
7,25,0.375,50
7,25,0.625,60
7,5,0.625,57
7,45,0.5,63
8,45,0.25,10
8,25,0.25,50
8,25,0,0
8,25,0.875,78
8,5,0.375,13
8,5,0.375,64
8,45,0,0
8,45,0.875,100
8,25,0.625,47
8,25,0.5,40
8,25,0.5,44
8,25,0.25,6
8,5,0,17
8,5,0.125,0
8,25,0.75,82
8,25,0.375,38
8,25,0,0
8,5,0.625,40
8,25,0.625,66
8,25,0.75,95
8,45,0.75,83
8,45,0,0
8,5,1,100
8,5,0.5,60
8,5,0.75,60
8,45,0.5,60
8,5,0.25,12
8,45,0.875,86
8,5,0.125,9
8,45,0.625,76
8,45,0.75,56
8,5,0,0
8,25,0.125,5
8,25,0.75,73
8,45,0.625,56
8,5,0.75,86
8,45,0.5,48
8,5,0.375,20
8,25,0,12
8,5,0.625,71
8,45,0.25,32
8,5,1,100
