sID,trialNumber,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,s,strategy,sex,age,trial_filter
2,21,45,0.25,0,1.8,0.244444444,"9,9,9,9,9","1,4,0,2,4","8,5,9,7,5",35,3.2638,30,3.2762,20,3,0.3333333333333333,compromise,Male,32,1
2,22,5,0.375,0,1.8,0.4,"1,1,1,1,1","1,1,0,0,0","0,0,1,1,1",40,2.1646,35,2.8642,25,1,0.3333333333333333,compromise,Male,32,1
2,23,5,0.875,0,1.7,0.8,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",80,2.8341,85,3.6056,98,3,0.2777777777777778,compromise,Male,32,1
2,24,5,0.875,0,1.6,0.8,"1,1,1,1,1","1,1,1,0,1","0,0,0,1,0",80,2.3146,90,4.2584,97,1,0.5882352941176471,compromise,Male,32,1
2,25,5,0.75,0,1.8,0.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",80,1.6473,72,4.8456,65,3,0.5333333333333333,compromise,Male,32,1
2,27,5,0.25,0,1.8,0.2,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",20,1.718,25,4.0727,36,1,0.3125,compromise,Male,32,1
2,28,45,0.5,0,2,0.511111111,"9,9,9,9,9","2,5,5,7,4","7,4,4,2,5",56,5.4788,45,3.8634,40,3,0.6875,compromise,Male,32,1
2,29,5,0.625,0,1.5,0.6,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",60,4.1937,70,4.7585,75,3,0.6666666666666666,compromise,Male,32,1
2,30,45,0.125,0,1.9,0.133333333,"9,9,9,9,9","1,2,1,1,1","8,7,8,8,8",20,2.3475,15,3.6753,3,2,0.29411764705882354,compromise,Male,32,1
2,31,45,0.75,0,1.7,0.755555556,"9,9,9,9,9","7,6,7,7,7","2,3,2,2,2",75,2.2313,70,6.5737,57,2,0.2777777777777778,compromise,Male,32,1
2,32,45,0.125,0,1.6,0.133333333,"9,9,9,9,9","4,1,0,0,1","5,8,9,9,8",15,1.8983,15,4.4788,0,1,-0,stay,Male,32,1
2,33,45,0.75,0,1.9,0.755555556,"9,9,9,9,9","8,8,5,8,5","1,1,4,1,4",70,4.7291,75,5.041,86,3,0.3125,compromise,Male,32,1
2,34,45,0.625,0,2,0.622222222,"9,9,9,9,9","7,3,7,6,5","2,6,2,3,4",65,3.1636,60,3.3302,47,1,0.2777777777777778,compromise,Male,32,1
2,35,45,0.625,0,1.8,0.622222222,"9,9,9,9,9","6,4,4,8,6","3,5,5,1,3",70,3.0307,62,4.9618,55,2,0.5333333333333333,compromise,Male,32,1
2,36,5,0.5,0,1.9,0.6,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",60,1.5331,50,4.0562,42,3,0.5555555555555556,compromise,Male,32,1
2,37,45,0.25,0,2,0.244444444,"9,9,9,9,9","1,4,2,1,3","8,5,7,8,6",30,3.6176,30,4.8546,13,1,-0,stay,Male,32,1
